;ICC;F;df1;df2;pval;CI95%;Description;Stage;Group;Bands;Components
141;0.931682;14.637335;17;51;0.0;[0.86 0.97];Average fixed raters;Normalized data;CTR;beta2;C15
142;0.899355;9.93592;17;51;0.0;[0.79 0.96];Average fixed raters;Normalized data;CTR;beta3;C15
143;0.879206;8.278545;17;51;0.0;[0.75 0.95];Average fixed raters;Normalized data;CTR;gamma;C15
144;0.86939;7.656362;17;51;0.0;[0.73 0.95];Average fixed raters;Normalized data;CTR;delta;C18
145;0.966868;30.182196;17;51;0.0;[0.93 0.99];Average fixed raters;Normalized data;CTR;theta;C18
146;0.874817;7.988278;17;51;0.0;[0.74 0.95];Average fixed raters;Normalized data;CTR;alpha-1;C18
147;0.851414;6.73009;17;51;0.0;[0.7  0.94];Average fixed raters;Normalized data;CTR;alpha-2;C18
148;0.962936;26.980116;17;51;0.0;[0.92 0.98];Average fixed raters;Normalized data;CTR;beta1;C18
149;0.922361;12.880152;17;51;0.0;[0.84 0.97];Average fixed raters;Normalized data;CTR;beta2;C18
150;0.95796;23.786607;17;51;0.0;[0.91 0.98];Average fixed raters;Normalized data;CTR;beta3;C18
151;0.876872;8.121656;17;51;0.0;[0.75 0.95];Average fixed raters;Normalized data;CTR;gamma;C18
152;0.863152;7.307386;17;51;0.0;[0.72 0.94];Average fixed raters;Normalized data;CTR;delta;C20
153;0.95945;24.660747;17;51;0.0;[0.92 0.98];Average fixed raters;Normalized data;CTR;theta;C20
154;0.935876;15.594671;17;51;0.0;[0.87 0.97];Average fixed raters;Normalized data;CTR;alpha-1;C20
155;0.926612;13.62616;17;51;0.0;[0.85 0.97];Average fixed raters;Normalized data;CTR;alpha-2;C20
156;0.953314;21.419522;17;51;0.0;[0.9  0.98];Average fixed raters;Normalized data;CTR;beta1;C20
157;0.85678;6.982289;17;51;0.0;[0.71 0.94];Average fixed raters;Normalized data;CTR;beta2;C20
158;0.935202;15.432469;17;51;0.0;[0.87 0.97];Average fixed raters;Normalized data;CTR;beta3;C20
159;0.908384;10.915128;17;51;0.0;[0.81 0.96];Average fixed raters;Normalized data;CTR;gamma;C20
160;0.778617;4.51705;17;51;1.4e-05;[0.55 0.91];Average fixed raters;Normalized data;CTR;delta;C22
