;Type;Description;ICC;F;df1;df2;pval;CI95%;Stage;Group;Bands;Components
459;ICC1k;Average raters absolute;0.913771;11.596991;42;129;0.0;[0.86 0.95];Normalized data;Control;beta1;C15
460;ICC2k;Average random raters;0.91407;12.085902;42;126;0.0;[0.86 0.95];Normalized data;Control;beta1;C15
461;ICC3k;Average fixed raters;0.917259;12.085902;42;126;0.0;[0.87 0.95];Normalized data;Control;beta1;C15
462;ICC1;Single raters absolute;0.78926;15.980739;42;129;0.0;[0.69 0.87];Normalized data;Control;beta2;C15
463;ICC2;Single random raters;0.789504;16.340146;42;126;0.0;[0.69 0.87];Normalized data;Control;beta2;C15
464;ICC3;Single fixed raters;0.793176;16.340146;42;126;0.0;[0.7  0.87];Normalized data;Control;beta2;C15
465;ICC1k;Average raters absolute;0.937425;15.980739;42;129;0.0;[0.9  0.96];Normalized data;Control;beta2;C15
466;ICC2k;Average random raters;0.937511;16.340146;42;126;0.0;[0.9  0.96];Normalized data;Control;beta2;C15
467;ICC3k;Average fixed raters;0.938801;16.340146;42;126;0.0;[0.9  0.96];Normalized data;Control;beta2;C15
468;ICC1;Single raters absolute;0.777918;15.011356;42;129;0.0;[0.68 0.86];Normalized data;Control;beta3;C15
469;ICC2;Single random raters;0.77768;14.727916;42;126;0.0;[0.68 0.86];Normalized data;Control;beta3;C15
470;ICC3;Single fixed raters;0.774367;14.727916;42;126;0.0;[0.67 0.86];Normalized data;Control;beta3;C15
471;ICC1k;Average raters absolute;0.933384;15.011356;42;129;0.0;[0.89 0.96];Normalized data;Control;beta3;C15
472;ICC2k;Average random raters;0.933298;14.727916;42;126;0.0;[0.89 0.96];Normalized data;Control;beta3;C15
473;ICC3k;Average fixed raters;0.932102;14.727916;42;126;0.0;[0.89 0.96];Normalized data;Control;beta3;C15
474;ICC1;Single raters absolute;0.691413;9.962322;42;129;0.0;[0.57 0.8 ];Normalized data;Control;gamma;C15
475;ICC2;Single random raters;0.691268;9.901732;42;126;0.0;[0.57 0.8 ];Normalized data;Control;gamma;C15
476;ICC3;Single fixed raters;0.689964;9.901732;42;126;0.0;[0.57 0.8 ];Normalized data;Control;gamma;C15
477;ICC1k;Average raters absolute;0.899622;9.962322;42;129;0.0;[0.84 0.94];Normalized data;Control;gamma;C15
478;ICC2k;Average random raters;0.89956;9.901732;42;126;0.0;[0.84 0.94];Normalized data;Control;gamma;C15
479;ICC3k;Average fixed raters;0.899008;9.901732;42;126;0.0;[0.84 0.94];Normalized data;Control;gamma;C15
480;ICC1;Single raters absolute;0.668361;9.061317;42;129;0.0;[0.54 0.78];Normalized data;Control;delta;C18
481;ICC2;Single random raters;0.669157;9.331884;42;126;0.0;[0.54 0.78];Normalized data;Control;delta;C18
482;ICC3;Single fixed raters;0.675638;9.331884;42;126;0.0;[0.55 0.79];Normalized data;Control;delta;C18
483;ICC1k;Average raters absolute;0.889641;9.061317;42;129;0.0;[0.82 0.94];Normalized data;Control;delta;C18
484;ICC2k;Average random raters;0.889993;9.331884;42;126;0.0;[0.82 0.94];Normalized data;Control;delta;C18
485;ICC3k;Average fixed raters;0.892841;9.331884;42;126;0.0;[0.83 0.94];Normalized data;Control;delta;C18
486;ICC1;Single raters absolute;0.819674;19.182107;42;129;0.0;[0.73 0.89];Normalized data;Control;theta;C18
487;ICC2;Single random raters;0.819655;19.136285;42;126;0.0;[0.73 0.89];Normalized data;Control;theta;C18
488;ICC3;Single fixed raters;0.819301;19.136285;42;126;0.0;[0.73 0.89];Normalized data;Control;theta;C18
489;ICC1k;Average raters absolute;0.947868;19.182107;42;129;0.0;[0.92 0.97];Normalized data;Control;theta;C18
490;ICC2k;Average random raters;0.947862;19.136285;42;126;0.0;[0.92 0.97];Normalized data;Control;theta;C18
491;ICC3k;Average fixed raters;0.947743;19.136285;42;126;0.0;[0.92 0.97];Normalized data;Control;theta;C18
492;ICC1;Single raters absolute;0.713449;10.959131;42;129;0.0;[0.6  0.81];Normalized data;Control;alpha-1;C18
493;ICC2;Single random raters;0.713713;11.101993;42;126;0.0;[0.6  0.82];Normalized data;Control;alpha-1;C18
494;ICC3;Single fixed raters;0.716352;11.101993;42;126;0.0;[0.6  0.82];Normalized data;Control;alpha-1;C18
495;ICC1k;Average raters absolute;0.908752;10.959131;42;129;0.0;[0.85 0.95];Normalized data;Control;alpha-1;C18
496;ICC2k;Average random raters;0.908859;11.101993;42;126;0.0;[0.85 0.95];Normalized data;Control;alpha-1;C18
497;ICC3k;Average fixed raters;0.909926;11.101993;42;126;0.0;[0.86 0.95];Normalized data;Control;alpha-1;C18
498;ICC1;Single raters absolute;0.746536;12.781313;42;129;0.0;[0.64 0.84];Normalized data;Control;alpha-2;C18
499;ICC2;Single random raters;0.746596;12.829316;42;126;0.0;[0.64 0.84];Normalized data;Control;alpha-2;C18
500;ICC3;Single fixed raters;0.747304;12.829316;42;126;0.0;[0.64 0.84];Normalized data;Control;alpha-2;C18
501;ICC1k;Average raters absolute;0.921761;12.781313;42;129;0.0;[0.88 0.95];Normalized data;Control;alpha-2;C18
502;ICC2k;Average random raters;0.921784;12.829316;42;126;0.0;[0.88 0.95];Normalized data;Control;alpha-2;C18
503;ICC3k;Average fixed raters;0.922054;12.829316;42;126;0.0;[0.88 0.95];Normalized data;Control;alpha-2;C18
504;ICC1;Single raters absolute;0.750287;13.018395;42;129;0.0;[0.64 0.84];Normalized data;Control;beta1;C18
505;ICC2;Single random raters;0.750509;13.206274;42;126;0.0;[0.64 0.84];Normalized data;Control;beta1;C18
506;ICC3;Single fixed raters;0.753182;13.206274;42;126;0.0;[0.65 0.84];Normalized data;Control;beta1;C18
507;ICC1k;Average raters absolute;0.923186;13.018395;42;129;0.0;[0.88 0.95];Normalized data;Control;beta1;C18
508;ICC2k;Average random raters;0.923269;13.206274;42;126;0.0;[0.88 0.95];Normalized data;Control;beta1;C18
509;ICC3k;Average fixed raters;0.924278;13.206274;42;126;0.0;[0.88 0.96];Normalized data;Control;beta1;C18
510;ICC1;Single raters absolute;0.739263;12.34114;42;129;0.0;[0.63 0.83];Normalized data;Control;beta2;C18
511;ICC2;Single random raters;0.739502;12.51686;42;126;0.0;[0.63 0.83];Normalized data;Control;beta2;C18
512;ICC3;Single fixed raters;0.742216;12.51686;42;126;0.0;[0.63 0.84];Normalized data;Control;beta2;C18
513;ICC1k;Average raters absolute;0.91897;12.34114;42;129;0.0;[0.87 0.95];Normalized data;Control;beta2;C18
514;ICC2k;Average random raters;0.919062;12.51686;42;126;0.0;[0.87 0.95];Normalized data;Control;beta2;C18
515;ICC3k;Average fixed raters;0.920108;12.51686;42;126;0.0;[0.87 0.95];Normalized data;Control;beta2;C18
516;ICC1;Single raters absolute;0.841062;22.167018;42;129;0.0;[0.76 0.9 ];Normalized data;Control;beta3;C18
517;ICC2;Single random raters;0.840962;21.822741;42;126;0.0;[0.76 0.9 ];Normalized data;Control;beta3;C18
518;ICC3;Single fixed raters;0.838857;21.822741;42;126;0.0;[0.76 0.9 ];Normalized data;Control;beta3;C18
519;ICC1k;Average raters absolute;0.954888;22.167018;42;129;0.0;[0.93 0.97];Normalized data;Control;beta3;C18
520;ICC2k;Average random raters;0.954856;21.822741;42;126;0.0;[0.93 0.97];Normalized data;Control;beta3;C18
521;ICC3k;Average fixed raters;0.954176;21.822741;42;126;0.0;[0.93 0.97];Normalized data;Control;beta3;C18
522;ICC1;Single raters absolute;0.683459;9.636598;42;129;0.0;[0.56 0.79];Normalized data;Control;gamma;C18
523;ICC2;Single random raters;0.683594;9.688885;42;126;0.0;[0.56 0.79];Normalized data;Control;gamma;C18
524;ICC3;Single fixed raters;0.684763;9.688885;42;126;0.0;[0.56 0.79];Normalized data;Control;gamma;C18
525;ICC1k;Average raters absolute;0.896229;9.636598;42;129;0.0;[0.83 0.94];Normalized data;Control;gamma;C18
526;ICC2k;Average random raters;0.896287;9.688885;42;126;0.0;[0.83 0.94];Normalized data;Control;gamma;C18
527;ICC3k;Average fixed raters;0.896789;9.688885;42;126;0.0;[0.84 0.94];Normalized data;Control;gamma;C18
528;ICC1;Single raters absolute;0.590431;6.766374;42;129;0.0;[0.45 0.72];Normalized data;Control;delta;C20
529;ICC2;Single random raters;0.590585;6.791227;42;126;0.0;[0.45 0.72];Normalized data;Control;delta;C20
530;ICC3;Single fixed raters;0.591471;6.791227;42;126;0.0;[0.45 0.72];Normalized data;Control;delta;C20
531;ICC1k;Average raters absolute;0.85221;6.766374;42;129;0.0;[0.76 0.91];Normalized data;Control;delta;C20
532;ICC2k;Average random raters;0.85229;6.791227;42;126;0.0;[0.76 0.91];Normalized data;Control;delta;C20
533;ICC3k;Average fixed raters;0.852751;6.791227;42;126;0.0;[0.76 0.91];Normalized data;Control;delta;C20
534;ICC1;Single raters absolute;0.826078;19.998763;42;129;0.0;[0.74 0.89];Normalized data;Control;theta;C20
535;ICC2;Single random raters;0.826007;19.814793;42;126;0.0;[0.74 0.89];Normalized data;Control;theta;C20
536;ICC3;Single fixed raters;0.824675;19.814793;42;126;0.0;[0.74 0.89];Normalized data;Control;theta;C20
537;ICC1k;Average raters absolute;0.949997;19.998763;42;129;0.0;[0.92 0.97];Normalized data;Control;theta;C20
538;ICC2k;Average random raters;0.949974;19.814793;42;126;0.0;[0.92 0.97];Normalized data;Control;theta;C20
539;ICC3k;Average fixed raters;0.949533;19.814793;42;126;0.0;[0.92 0.97];Normalized data;Control;theta;C20
540;ICC1;Single raters absolute;0.775008;14.778396;42;129;0.0;[0.67 0.86];Normalized data;Control;alpha-1;C20
541;ICC2;Single random raters;0.775065;14.845547;42;126;0.0;[0.67 0.86];Normalized data;Control;alpha-1;C20
542;ICC3;Single fixed raters;0.775854;14.845547;42;126;0.0;[0.67 0.86];Normalized data;Control;alpha-1;C20
543;ICC1k;Average raters absolute;0.932334;14.778396;42;129;0.0;[0.89 0.96];Normalized data;Control;alpha-1;C20
544;ICC2k;Average random raters;0.932354;14.845547;42;126;0.0;[0.89 0.96];Normalized data;Control;alpha-1;C20
545;ICC3k;Average fixed raters;0.93264;14.845547;42;126;0.0;[0.89 0.96];Normalized data;Control;alpha-1;C20
546;ICC1;Single raters absolute;0.787057;15.784388;42;129;0.0;[0.69 0.87];Normalized data;Control;alpha-2;C20
547;ICC2;Single random raters;0.787116;15.867156;42;126;0.0;[0.69 0.87];Normalized data;Control;alpha-2;C20
548;ICC3;Single fixed raters;0.787991;15.867156;42;126;0.0;[0.69 0.87];Normalized data;Control;alpha-2;C20
549;ICC1k;Average raters absolute;0.936646;15.784388;42;129;0.0;[0.9  0.96];Normalized data;Control;alpha-2;C20
550;ICC2k;Average random raters;0.936667;15.867156;42;126;0.0;[0.9  0.96];Normalized data;Control;alpha-2;C20
551;ICC3k;Average fixed raters;0.936977;15.867156;42;126;0.0;[0.9  0.96];Normalized data;Control;alpha-2;C20
552;ICC1;Single raters absolute;0.730974;11.868476;42;129;0.0;[0.62 0.83];Normalized data;Control;beta1;C20
553;ICC2;Single random raters;0.730653;11.661604;42;126;0.0;[0.62 0.83];Normalized data;Control;beta1;C20
554;ICC3;Single fixed raters;0.727179;11.661604;42;126;0.0;[0.61 0.82];Normalized data;Control;beta1;C20
555;ICC1k;Average raters absolute;0.915743;11.868476;42;129;0.0;[0.87 0.95];Normalized data;Control;beta1;C20
556;ICC2k;Average random raters;0.915617;11.661604;42;126;0.0;[0.87 0.95];Normalized data;Control;beta1;C20
557;ICC3k;Average fixed raters;0.914249;11.661604;42;126;0.0;[0.86 0.95];Normalized data;Control;beta1;C20
558;ICC1;Single raters absolute;0.674714;9.296882;42;129;0.0;[0.55 0.79];Normalized data;Control;beta2;C20
559;ICC2;Single random raters;0.674224;9.127838;42;126;0.0;[0.55 0.79];Normalized data;Control;beta2;C20
560;ICC3;Single fixed raters;0.67018;9.127838;42;126;0.0;[0.54 0.78];Normalized data;Control;beta2;C20
561;ICC1k;Average raters absolute;0.892437;9.296882;42;129;0.0;[0.83 0.94];Normalized data;Control;beta2;C20
562;ICC2k;Average random raters;0.892222;9.127838;42;126;0.0;[0.83 0.94];Normalized data;Control;beta2;C20
563;ICC3k;Average fixed raters;0.890445;9.127838;42;126;0.0;[0.83 0.94];Normalized data;Control;beta2;C20
564;ICC1;Single raters absolute;0.768841;14.304121;42;129;0.0;[0.67 0.85];Normalized data;Control;beta3;C20
565;ICC2;Single random raters;0.768704;14.158826;42;126;0.0;[0.67 0.85];Normalized data;Control;beta3;C20
566;ICC3;Single fixed raters;0.766884;14.158826;42;126;0.0;[0.66 0.85];Normalized data;Control;beta3;C20
567;ICC1k;Average raters absolute;0.93009;14.304121;42;129;0.0;[0.89 0.96];Normalized data;Control;beta3;C20
568;ICC2k;Average random raters;0.93004;14.158826;42;126;0.0;[0.89 0.96];Normalized data;Control;beta3;C20
569;ICC3k;Average fixed raters;0.929373;14.158826;42;126;0.0;[0.89 0.96];Normalized data;Control;beta3;C20
570;ICC1;Single raters absolute;0.713516;10.962375;42;129;0.0;[0.6  0.81];Normalized data;Control;gamma;C20
571;ICC2;Single random raters;0.713346;10.872345;42;126;0.0;[0.59 0.81];Normalized data;Control;gamma;C20
572;ICC3;Single fixed raters;0.711657;10.872345;42;126;0.0;[0.59 0.81];Normalized data;Control;gamma;C20
573;ICC1k;Average raters absolute;0.908779;10.962375;42;129;0.0;[0.85 0.95];Normalized data;Control;gamma;C20
574;ICC2k;Average random raters;0.90871;10.872345;42;126;0.0;[0.85 0.95];Normalized data;Control;gamma;C20
575;ICC3k;Average fixed raters;0.908024;10.872345;42;126;0.0;[0.85 0.95];Normalized data;Control;gamma;C20
576;ICC1;Single raters absolute;0.516944;5.280615;42;129;0.0;[0.37 0.67];Normalized data;Control;delta;C22
577;ICC2;Single random raters;0.521076;5.686885;42;126;0.0;[0.37 0.67];Normalized data;Control;delta;C22
578;ICC3;Single fixed raters;0.539536;5.686885;42;126;0.0;[0.39 0.68];Normalized data;Control;delta;C22
579;ICC1k;Average raters absolute;0.810628;5.280615;42;129;0.0;[0.7  0.89];Normalized data;Control;delta;C22
580;ICC2k;Average random raters;0.813156;5.686885;42;126;0.0;[0.7  0.89];Normalized data;Control;delta;C22
581;ICC3k;Average fixed raters;0.824157;5.686885;42;126;0.0;[0.72 0.9 ];Normalized data;Control;delta;C22
582;ICC1;Single raters absolute;0.82776;20.223417;42;129;0.0;[0.75 0.89];Normalized data;Control;theta;C22
583;ICC2;Single random raters;0.827942;20.733966;42;126;0.0;[0.75 0.89];Normalized data;Control;theta;C22
584;ICC3;Single fixed raters;0.831465;20.733966;42;126;0.0;[0.75 0.9 ];Normalized data;Control;theta;C22
585;ICC1k;Average raters absolute;0.950552;20.223417;42;129;0.0;[0.92 0.97];Normalized data;Control;theta;C22
586;ICC2k;Average random raters;0.950613;20.733966;42;126;0.0;[0.92 0.97];Normalized data;Control;theta;C22
587;ICC3k;Average fixed raters;0.95177;20.733966;42;126;0.0;[0.92 0.97];Normalized data;Control;theta;C22
588;ICC1;Single raters absolute;0.740913;12.438858;42;129;0.0;[0.63 0.83];Normalized data;Control;alpha-1;C22
589;ICC2;Single random raters;0.741908;13.225974;42;126;0.0;[0.63 0.84];Normalized data;Control;alpha-1;C22
590;ICC3;Single fixed raters;0.753482;13.225974;42;126;0.0;[0.65 0.84];Normalized data;Control;alpha-1;C22
591;ICC1k;Average raters absolute;0.919607;12.438858;42;129;0.0;[0.87 0.95];Normalized data;Control;alpha-1;C22
592;ICC2k;Average random raters;0.91999;13.225974;42;126;0.0;[0.87 0.95];Normalized data;Control;alpha-1;C22
593;ICC3k;Average fixed raters;0.924391;13.225974;42;126;0.0;[0.88 0.96];Normalized data;Control;alpha-1;C22
594;ICC1;Single raters absolute;0.817116;18.871828;42;129;0.0;[0.73 0.89];Normalized data;Control;alpha-2;C22
595;ICC2;Single random raters;0.8172;19.061798;42;126;0.0;[0.73 0.89];Normalized data;Control;alpha-2;C22
596;ICC3;Single fixed raters;0.818691;19.061798;42;126;0.0;[0.73 0.89];Normalized data;Control;alpha-2;C22
597;ICC1k;Average raters absolute;0.947011;18.871828;42;129;0.0;[0.92 0.97];Normalized data;Control;alpha-2;C22
598;ICC2k;Average random raters;0.947039;19.061798;42;126;0.0;[0.92 0.97];Normalized data;Control;alpha-2;C22
599;ICC3k;Average fixed raters;0.947539;19.061798;42;126;0.0;[0.92 0.97];Normalized data;Control;alpha-2;C22
600;ICC1;Single raters absolute;0.791407;16.176138;42;129;0.0;[0.7  0.87];Normalized data;Control;beta1;C22
601;ICC2;Single random raters;0.791472;16.272631;42;126;0.0;[0.7  0.87];Normalized data;Control;beta1;C22
602;ICC3;Single fixed raters;0.792452;16.272631;42;126;0.0;[0.7  0.87];Normalized data;Control;beta1;C22
603;ICC1k;Average raters absolute;0.938181;16.176138;42;129;0.0;[0.9  0.96];Normalized data;Control;beta1;C22
604;ICC2k;Average random raters;0.938203;16.272631;42;126;0.0;[0.9  0.96];Normalized data;Control;beta1;C22
605;ICC3k;Average fixed raters;0.938547;16.272631;42;126;0.0;[0.9  0.96];Normalized data;Control;beta1;C22
606;ICC1;Single raters absolute;0.798405;16.841786;42;129;0.0;[0.71 0.87];Normalized data;Control;beta2;C22
607;ICC2;Single random raters;0.798668;17.289566;42;126;0.0;[0.71 0.87];Normalized data;Control;beta2;C22
608;ICC3;Single fixed raters;0.802854;17.289566;42;126;0.0;[0.71 0.88];Normalized data;Control;beta2;C22
609;ICC1k;Average raters absolute;0.940624;16.841786;42;129;0.0;[0.91 0.97];Normalized data;Control;beta2;C22
610;ICC2k;Average random raters;0.940715;17.289566;42;126;0.0;[0.91 0.97];Normalized data;Control;beta2;C22
611;ICC3k;Average fixed raters;0.942162;17.289566;42;126;0.0;[0.91 0.97];Normalized data;Control;beta2;C22
612;ICC1;Single raters absolute;0.82248;19.532712;42;129;0.0;[0.74 0.89];Normalized data;Control;beta3;C22
613;ICC2;Single random raters;0.822432;19.413925;42;126;0.0;[0.74 0.89];Normalized data;Control;beta3;C22
614;ICC3;Single fixed raters;0.82154;19.413925;42;126;0.0;[0.74 0.89];Normalized data;Control;beta3;C22
615;ICC1k;Average raters absolute;0.948804;19.532712;42;129;0.0;[0.92 0.97];Normalized data;Control;beta3;C22
616;ICC2k;Average random raters;0.948788;19.413925;42;126;0.0;[0.92 0.97];Normalized data;Control;beta3;C22
617;ICC3k;Average fixed raters;0.948491;19.413925;42;126;0.0;[0.92 0.97];Normalized data;Control;beta3;C22
618;ICC1;Single raters absolute;0.757102;13.46784;42;129;0.0;[0.65 0.85];Normalized data;Control;gamma;C22
619;ICC2;Single random raters;0.756828;13.222169;42;126;0.0;[0.65 0.85];Normalized data;Control;gamma;C22
620;ICC3;Single fixed raters;0.753424;13.222169;42;126;0.0;[0.65 0.84];Normalized data;Control;gamma;C22
621;ICC1k;Average raters absolute;0.925749;13.46784;42;129;0.0;[0.88 0.96];Normalized data;Control;gamma;C22
622;ICC2k;Average random raters;0.925646;13.222169;42;126;0.0;[0.88 0.96];Normalized data;Control;gamma;C22
623;ICC3k;Average fixed raters;0.924369;13.222169;42;126;0.0;[0.88 0.96];Normalized data;Control;gamma;C22
624;ICC1;Single raters absolute;0.432155;4.044176;42;129;0.0;[0.28 0.59];Normalized data;Control;delta;C23
625;ICC2;Single random raters;0.442112;4.62573;42;126;0.0;[0.29 0.6 ];Normalized data;Control;delta;C23
626;ICC3;Single fixed raters;0.47546;4.62573;42;126;0.0;[0.32 0.63];Normalized data;Control;delta;C23
627;ICC1k;Average raters absolute;0.752731;4.044176;42;129;0.0;[0.61 0.85];Normalized data;Control;delta;C23
628;ICC2k;Average random raters;0.760186;4.62573;42;126;0.0;[0.61 0.86];Normalized data;Control;delta;C23
629;ICC3k;Average fixed raters;0.783818;4.62573;42;126;0.0;[0.65 0.87];Normalized data;Control;delta;C23
630;ICC1;Single raters absolute;0.750044;13.002841;42;129;0.0;[0.64 0.84];Normalized data;Control;theta;C23
631;ICC2;Single random raters;0.751243;14.088903;42;126;0.0;[0.64 0.84];Normalized data;Control;theta;C23
632;ICC3;Single fixed raters;0.76593;14.088903;42;126;0.0;[0.66 0.85];Normalized data;Control;theta;C23
633;ICC1k;Average raters absolute;0.923094;13.002841;42;129;0.0;[0.88 0.95];Normalized data;Control;theta;C23
634;ICC2k;Average random raters;0.923547;14.088903;42;126;0.0;[0.88 0.96];Normalized data;Control;theta;C23
635;ICC3k;Average fixed raters;0.929022;14.088903;42;126;0.0;[0.89 0.96];Normalized data;Control;theta;C23
636;ICC1;Single raters absolute;0.599638;6.990949;42;129;0.0;[0.46 0.73];Normalized data;Control;alpha-1;C23
637;ICC2;Single random raters;0.604923;8.069498;42;126;0.0;[0.46 0.74];Normalized data;Control;alpha-1;C23
638;ICC3;Single fixed raters;0.638647;8.069498;42;126;0.0;[0.5  0.76];Normalized data;Control;alpha-1;C23
639;ICC1k;Average raters absolute;0.856958;6.990949;42;129;0.0;[0.77 0.92];Normalized data;Control;alpha-1;C23
640;ICC2k;Average random raters;0.859641;8.069498;42;126;0.0;[0.77 0.92];Normalized data;Control;alpha-1;C23
641;ICC3k;Average fixed raters;0.876077;8.069498;42;126;0.0;[0.8  0.93];Normalized data;Control;alpha-1;C23
642;ICC1;Single raters absolute;0.684393;9.673991;42;129;0.0;[0.56 0.79];Normalized data;Control;alpha-2;C23
643;ICC2;Single random raters;0.685574;10.157678;42;126;0.0;[0.56 0.8 ];Normalized data;Control;alpha-2;C23
644;ICC3;Single fixed raters;0.695995;10.157678;42;126;0.0;[0.57 0.8 ];Normalized data;Control;alpha-2;C23
645;ICC1k;Average raters absolute;0.89663;9.673991;42;129;0.0;[0.84 0.94];Normalized data;Control;alpha-2;C23
646;ICC2k;Average random raters;0.897136;10.157678;42;126;0.0;[0.84 0.94];Normalized data;Control;alpha-2;C23
647;ICC3k;Average fixed raters;0.901552;10.157678;42;126;0.0;[0.84 0.94];Normalized data;Control;alpha-2;C23
648;ICC1;Single raters absolute;0.65861;8.716813;42;129;0.0;[0.53 0.78];Normalized data;Control;beta1;C23
649;ICC2;Single random raters;0.658046;8.551565;42;126;0.0;[0.53 0.78];Normalized data;Control;beta1;C23
650;ICC3;Single fixed raters;0.653727;8.551565;42;126;0.0;[0.52 0.77];Normalized data;Control;beta1;C23
651;ICC1k;Average raters absolute;0.885279;8.716813;42;129;0.0;[0.82 0.93];Normalized data;Control;beta1;C23
652;ICC2k;Average random raters;0.885024;8.551565;42;126;0.0;[0.82 0.93];Normalized data;Control;beta1;C23
653;ICC3k;Average fixed raters;0.883062;8.551565;42;126;0.0;[0.81 0.93];Normalized data;Control;beta1;C23
654;ICC1;Single raters absolute;0.68857;9.843987;42;129;0.0;[0.56 0.8 ];Normalized data;Control;beta2;C23
655;ICC2;Single random raters;0.689255;10.130754;42;126;0.0;[0.56 0.8 ];Normalized data;Control;beta2;C23
656;ICC3;Single fixed raters;0.695372;10.130754;42;126;0.0;[0.57 0.8 ];Normalized data;Control;beta2;C23
657;ICC1k;Average raters absolute;0.898415;9.843987;42;129;0.0;[0.84 0.94];Normalized data;Control;beta2;C23
658;ICC2k;Average random raters;0.898706;10.130754;42;126;0.0;[0.84 0.94];Normalized data;Control;beta2;C23
659;ICC3k;Average fixed raters;0.901291;10.130754;42;126;0.0;[0.84 0.94];Normalized data;Control;beta2;C23
660;ICC1;Single raters absolute;0.710566;10.820089;42;129;0.0;[0.59 0.81];Normalized data;Control;beta3;C23
661;ICC2;Single random raters;0.711251;11.186588;42;126;0.0;[0.59 0.81];Normalized data;Control;beta3;C23
662;ICC3;Single fixed raters;0.718044;11.186588;42;126;0.0;[0.6  0.82];Normalized data;Control;beta3;C23
663;ICC1k;Average raters absolute;0.907579;10.820089;42;129;0.0;[0.85 0.95];Normalized data;Control;beta3;C23
664;ICC2k;Average random raters;0.907858;11.186588;42;126;0.0;[0.85 0.95];Normalized data;Control;beta3;C23
665;ICC3k;Average fixed raters;0.910607;11.186588;42;126;0.0;[0.86 0.95];Normalized data;Control;beta3;C23
666;ICC1;Single raters absolute;0.75353;13.229155;42;129;0.0;[0.65 0.84];Normalized data;Control;gamma;C23
667;ICC2;Single random raters;0.75399;13.642797;42;126;0.0;[0.65 0.84];Normalized data;Control;gamma;C23
668;ICC3;Single fixed raters;0.759656;13.642797;42;126;0.0;[0.65 0.85];Normalized data;Control;gamma;C23
669;ICC1k;Average raters absolute;0.924409;13.229155;42;129;0.0;[0.88 0.96];Normalized data;Control;gamma;C23
670;ICC2k;Average random raters;0.924582;13.642797;42;126;0.0;[0.88 0.96];Normalized data;Control;gamma;C23
671;ICC3k;Average fixed raters;0.926701;13.642797;42;126;0.0;[0.88 0.96];Normalized data;Control;gamma;C23
672;ICC1;Single raters absolute;0.4438;4.191656;42;129;0.0;[0.29 0.6 ];Normalized data;Control;delta;C24
673;ICC2;Single random raters;0.449081;4.502009;42;126;0.0;[0.3  0.61];Normalized data;Control;delta;C24
674;ICC3;Single fixed raters;0.466809;4.502009;42;126;0.0;[0.31 0.62];Normalized data;Control;delta;C24
675;ICC1k;Average raters absolute;0.761431;4.191656;42;129;0.0;[0.62 0.86];Normalized data;Control;delta;C24
676;ICC2k;Average random raters;0.765291;4.502009;42;126;0.0;[0.63 0.86];Normalized data;Control;delta;C24
677;ICC3k;Average fixed raters;0.777877;4.502009;42;126;0.0;[0.65 0.87];Normalized data;Control;delta;C24
678;ICC1;Single raters absolute;0.858746;25.317792;42;129;0.0;[0.79 0.91];Normalized data;Control;theta;C24
679;ICC2;Single random raters;0.85899;26.620817;42;126;0.0;[0.79 0.91];Normalized data;Control;theta;C24
680;ICC3;Single fixed raters;0.86496;26.620817;42;126;0.0;[0.8  0.92];Normalized data;Control;theta;C24
681;ICC1k;Average raters absolute;0.960502;25.317792;42;129;0.0;[0.94 0.98];Normalized data;Control;theta;C24
682;ICC2k;Average random raters;0.960578;26.620817;42;126;0.0;[0.94 0.98];Normalized data;Control;theta;C24
683;ICC3k;Average fixed raters;0.962435;26.620817;42;126;0.0;[0.94 0.98];Normalized data;Control;theta;C24
684;ICC1;Single raters absolute;0.745394;12.710564;42;129;0.0;[0.64 0.84];Normalized data;Control;alpha-1;C24
685;ICC2;Single random raters;0.747064;14.18176;42;126;0.0;[0.63 0.84];Normalized data;Control;alpha-1;C24
686;ICC3;Single fixed raters;0.767195;14.18176;42;126;0.0;[0.66 0.85];Normalized data;Control;alpha-1;C24
687;ICC1k;Average raters absolute;0.921325;12.710564;42;129;0.0;[0.87 0.95];Normalized data;Control;alpha-1;C24
688;ICC2k;Average random raters;0.921962;14.18176;42;126;0.0;[0.87 0.95];Normalized data;Control;alpha-1;C24
689;ICC3k;Average fixed raters;0.929487;14.18176;42;126;0.0;[0.89 0.96];Normalized data;Control;alpha-1;C24
690;ICC1;Single raters absolute;0.7263;11.614548;42;129;0.0;[0.61 0.82];Normalized data;Control;alpha-2;C24
691;ICC2;Single random raters;0.727057;12.104816;42;126;0.0;[0.61 0.82];Normalized data;Control;alpha-2;C24
692;ICC3;Single fixed raters;0.735184;12.104816;42;126;0.0;[0.62 0.83];Normalized data;Control;alpha-2;C24
693;ICC1k;Average raters absolute;0.913901;11.614548;42;129;0.0;[0.86 0.95];Normalized data;Control;alpha-2;C24
694;ICC2k;Average random raters;0.9142;12.104816;42;126;0.0;[0.86 0.95];Normalized data;Control;alpha-2;C24
695;ICC3k;Average fixed raters;0.917388;12.104816;42;126;0.0;[0.87 0.95];Normalized data;Control;alpha-2;C24
696;ICC1;Single raters absolute;0.744519;12.65675;42;129;0.0;[0.63 0.84];Normalized data;Control;beta1;C24
697;ICC2;Single random raters;0.744668;12.773685;42;126;0.0;[0.63 0.84];Normalized data;Control;beta1;C24
