;Description;ICC;F;df1;df2;pval;CI95%;Stage;Group;Bands;Components
84;Average fixed raters;0.891779;9.240317;24;72;0.0;[0.8  0.95];Preprocessed data;G2;beta1;C18
85;Average fixed raters;0.923564;13.082801;24;72;0.0;[0.86 0.96];Preprocessed data;G2;beta2;C18
86;Average fixed raters;0.939601;16.556634;24;72;0.0;[0.89 0.97];Preprocessed data;G2;beta3;C18
87;Average fixed raters;0.857372;7.011255;24;72;0.0;[0.74 0.93];Preprocessed data;G2;gamma;C18
88;Average fixed raters;0.781741;4.581715;24;72;0.0;[0.6  0.89];Preprocessed data;G2;delta;C20
89;Average fixed raters;0.939329;16.482297;24;72;0.0;[0.89 0.97];Preprocessed data;G2;theta;C20
90;Average fixed raters;0.922509;12.904744;24;72;0.0;[0.86 0.96];Preprocessed data;G2;alpha-1;C20
91;Average fixed raters;0.916854;12.027037;24;72;0.0;[0.85 0.96];Preprocessed data;G2;alpha-2;C20
92;Average fixed raters;0.871245;7.766668;24;72;0.0;[0.76 0.94];Preprocessed data;G2;beta1;C20
93;Average fixed raters;0.918294;12.23904;24;72;0.0;[0.85 0.96];Preprocessed data;G2;beta2;C20
94;Average fixed raters;0.90859;10.939689;24;72;0.0;[0.83 0.96];Preprocessed data;G2;beta3;C20
95;Average fixed raters;0.787159;4.698336;24;72;0.0;[0.61 0.9 ];Preprocessed data;G2;gamma;C20
96;Average fixed raters;0.82073;5.578182;24;72;0.0;[0.67 0.91];Preprocessed data;G2;delta;C22
97;Average fixed raters;0.934644;15.300745;24;72;0.0;[0.88 0.97];Preprocessed data;G2;theta;C22
98;Average fixed raters;0.936571;15.765594;24;72;0.0;[0.88 0.97];Preprocessed data;G2;alpha-1;C22
99;Average fixed raters;0.927707;13.832571;24;72;0.0;[0.87 0.96];Preprocessed data;G2;alpha-2;C22
100;Average fixed raters;0.892356;9.289877;24;72;0.0;[0.8  0.95];Preprocessed data;G2;beta1;C22
101;Average fixed raters;0.944512;18.022074;24;72;0.0;[0.9  0.97];Preprocessed data;G2;beta2;C22
102;Average fixed raters;0.953559;21.532663;24;72;0.0;[0.91 0.98];Preprocessed data;G2;beta3;C22
103;Average fixed raters;0.914026;11.631445;24;72;0.0;[0.84 0.96];Preprocessed data;G2;gamma;C22
104;Average fixed raters;0.740899;3.859505;24;72;5e-06;[0.52 0.87];Preprocessed data;G2;delta;C23
105;Average fixed raters;0.910006;11.111833;24;72;0.0;[0.83 0.96];Preprocessed data;G2;theta;C23
106;Average fixed raters;0.853401;6.821338;24;72;0.0;[0.73 0.93];Preprocessed data;G2;alpha-1;C23
107;Average fixed raters;0.876286;8.083153;24;72;0.0;[0.77 0.94];Preprocessed data;G2;alpha-2;C23
108;Average fixed raters;0.876582;8.102575;24;72;0.0;[0.77 0.94];Preprocessed data;G2;beta1;C23
109;Average fixed raters;0.898931;9.8942;24;72;0.0;[0.81 0.95];Preprocessed data;G2;beta2;C23
110;Average fixed raters;0.823508;5.665974;24;72;0.0;[0.68 0.91];Preprocessed data;G2;beta3;C23
111;Average fixed raters;0.874732;7.982896;24;72;0.0;[0.77 0.94];Preprocessed data;G2;gamma;C23
112;Average fixed raters;0.768707;4.323518;24;72;1e-06;[0.57 0.89];Preprocessed data;G2;delta;C24
113;Average fixed raters;0.942216;17.305941;24;72;0.0;[0.89 0.97];Preprocessed data;G2;theta;C24
114;Average fixed raters;0.901958;10.199742;24;72;0.0;[0.82 0.95];Preprocessed data;G2;alpha-1;C24
115;Average fixed raters;0.888781;8.991291;24;72;0.0;[0.8  0.95];Preprocessed data;G2;alpha-2;C24
116;Average fixed raters;0.894618;9.489286;24;72;0.0;[0.81 0.95];Preprocessed data;G2;beta1;C24
117;Average fixed raters;0.94123;17.015414;24;72;0.0;[0.89 0.97];Preprocessed data;G2;beta2;C24
118;Average fixed raters;0.862589;7.277433;24;72;0.0;[0.75 0.93];Preprocessed data;G2;beta3;C24
119;Average fixed raters;0.87374;7.920146;24;72;0.0;[0.77 0.94];Preprocessed data;G2;gamma;C24
120;Average fixed raters;0.678317;3.108648;24;72;0.000109;[0.41 0.84];Preprocessed data;G2;delta;C25
121;Average fixed raters;0.920171;12.526844;24;72;0.0;[0.85 0.96];Preprocessed data;G2;theta;C25
122;Average fixed raters;0.90164;10.166767;24;72;0.0;[0.82 0.95];Preprocessed data;G2;alpha-1;C25
123;Average fixed raters;0.910778;11.208011;24;72;0.0;[0.84 0.96];Preprocessed data;G2;alpha-2;C25
124;Average fixed raters;0.912999;11.494123;24;72;0.0;[0.84 0.96];Preprocessed data;G2;beta1;C25
125;Average fixed raters;0.949904;19.961564;24;72;0.0;[0.91 0.98];Preprocessed data;G2;beta2;C25
126;Average fixed raters;0.931381;14.573251;24;72;0.0;[0.87 0.97];Preprocessed data;G2;beta3;C25
127;Average fixed raters;0.901566;10.159136;24;72;0.0;[0.82 0.95];Preprocessed data;G2;gamma;C25
128;Average fixed raters;0.60954;2.561085;18;54;0.004019;[0.21 0.83];Normalized data;G1;delta;C14
129;Average fixed raters;0.837501;6.153892;18;54;0.0;[0.67 0.93];Normalized data;G1;theta;C14
130;Average fixed raters;0.912695;11.454073;18;54;0.0;[0.82 0.96];Normalized data;G1;alpha-1;C14
131;Average fixed raters;0.91966;12.447027;18;54;0.0;[0.84 0.97];Normalized data;G1;alpha-2;C14
132;Average fixed raters;0.857723;7.028533;18;54;0.0;[0.71 0.94];Normalized data;G1;beta1;C14
133;Average fixed raters;0.931708;14.642936;18;54;0.0;[0.86 0.97];Normalized data;G1;beta2;C14
134;Average fixed raters;0.880195;8.346887;18;54;0.0;[0.76 0.95];Normalized data;G1;beta3;C14
135;Average fixed raters;0.851723;6.744135;18;54;0.0;[0.7  0.94];Normalized data;G1;gamma;C14
136;Average fixed raters;0.76836;4.317047;18;54;1.5e-05;[0.53 0.9 ];Normalized data;G1;delta;C15
137;Average fixed raters;0.854163;6.856947;18;54;0.0;[0.71 0.94];Normalized data;G1;theta;C15
138;Average fixed raters;0.878275;8.215264;18;54;0.0;[0.76 0.95];Normalized data;G1;alpha-1;C15
139;Average fixed raters;0.892547;9.30638;18;54;0.0;[0.78 0.95];Normalized data;G1;alpha-2;C15
140;Average fixed raters;0.919068;12.356034;18;54;0.0;[0.84 0.97];Normalized data;G1;beta1;C15
141;Average fixed raters;0.757743;4.12785;18;54;2.6e-05;[0.51 0.9 ];Normalized data;G1;beta2;C15
142;Average fixed raters;0.752017;4.032533;18;54;3.5e-05;[0.5  0.89];Normalized data;G1;beta3;C15
143;Average fixed raters;0.689368;3.219247;18;54;0.000459;[0.38 0.87];Normalized data;G1;gamma;C15
144;Average fixed raters;0.815032;5.406339;18;54;1e-06;[0.63 0.92];Normalized data;G1;delta;C18
145;Average fixed raters;0.932892;14.901426;18;54;0.0;[0.87 0.97];Normalized data;G1;theta;C18
146;Average fixed raters;0.956523;23.000574;18;54;0.0;[0.91 0.98];Normalized data;G1;alpha-1;C18
147;Average fixed raters;0.901821;10.185529;18;54;0.0;[0.8  0.96];Normalized data;G1;alpha-2;C18
148;Average fixed raters;0.885993;8.77142;18;54;0.0;[0.77 0.95];Normalized data;G1;beta1;C18
149;Average fixed raters;0.902661;10.273365;18;54;0.0;[0.8  0.96];Normalized data;G1;beta2;C18
150;Average fixed raters;0.841171;6.296081;18;54;0.0;[0.68 0.93];Normalized data;G1;beta3;C18
151;Average fixed raters;0.797808;4.945805;18;54;2e-06;[0.59 0.91];Normalized data;G1;gamma;C18
152;Average fixed raters;0.761658;4.195656;18;54;2.2e-05;[0.52 0.9 ];Normalized data;G1;delta;C20
153;Average fixed raters;0.90939;11.036363;18;54;0.0;[0.82 0.96];Normalized data;G1;theta;C20
154;Average fixed raters;0.909771;11.082925;18;54;0.0;[0.82 0.96];Normalized data;G1;alpha-1;C20
155;Average fixed raters;0.856662;6.976519;18;54;0.0;[0.71 0.94];Normalized data;G1;alpha-2;C20
156;Average fixed raters;0.846479;6.513756;18;54;0.0;[0.69 0.93];Normalized data;G1;beta1;C20
157;Average fixed raters;0.886066;8.776992;18;54;0.0;[0.77 0.95];Normalized data;G1;beta2;C20
158;Average fixed raters;0.901397;10.141662;18;54;0.0;[0.8  0.96];Normalized data;G1;beta3;C20
159;Average fixed raters;0.775269;4.449766;18;54;1e-05;[0.55 0.9 ];Normalized data;G1;gamma;C20
160;Average fixed raters;0.663442;2.971252;18;54;0.001032;[0.32 0.86];Normalized data;G1;delta;C22
161;Average fixed raters;0.938942;16.378002;18;54;0.0;[0.88 0.97];Normalized data;G1;theta;C22
162;Average fixed raters;0.915267;11.801718;18;54;0.0;[0.83 0.96];Normalized data;G1;alpha-1;C22
163;Average fixed raters;0.916411;11.963273;18;54;0.0;[0.83 0.96];Normalized data;G1;alpha-2;C22
164;Average fixed raters;0.934147;15.18544;18;54;0.0;[0.87 0.97];Normalized data;G1;beta1;C22
165;Average fixed raters;0.945866;18.472569;18;54;0.0;[0.89 0.98];Normalized data;G1;beta2;C22
166;Average fixed raters;0.927013;13.701031;18;54;0.0;[0.85 0.97];Normalized data;G1;beta3;C22
167;Average fixed raters;0.944208;17.92363;18;54;0.0;[0.89 0.98];Normalized data;G1;gamma;C22
168;Average fixed raters;0.736582;3.796248;18;54;7.3e-05;[0.47 0.89];Normalized data;G1;delta;C23
169;Average fixed raters;0.930253;14.337583;18;54;0.0;[0.86 0.97];Normalized data;G1;theta;C23
170;Average fixed raters;0.925182;13.365757;18;54;0.0;[0.85 0.97];Normalized data;G1;alpha-1;C23
171;Average fixed raters;0.855468;6.918868;18;54;0.0;[0.71 0.94];Normalized data;G1;alpha-2;C23
172;Average fixed raters;0.937247;15.935483;18;54;0.0;[0.87 0.97];Normalized data;G1;beta1;C23
173;Average fixed raters;0.888391;8.959839;18;54;0.0;[0.78 0.95];Normalized data;G1;beta2;C23
174;Average fixed raters;0.911595;11.311514;18;54;0.0;[0.82 0.96];Normalized data;G1;beta3;C23
175;Average fixed raters;0.900408;10.040933;18;54;0.0;[0.8  0.96];Normalized data;G1;gamma;C23
176;Average fixed raters;0.609789;2.562715;18;54;0.003997;[0.22 0.83];Normalized data;G1;delta;C24
177;Average fixed raters;0.949599;19.840885;18;54;0.0;[0.9  0.98];Normalized data;G1;theta;C24
178;Average fixed raters;0.941498;17.093336;18;54;0.0;[0.88 0.97];Normalized data;G1;alpha-1;C24
179;Average fixed raters;0.914096;11.640852;18;54;0.0;[0.83 0.96];Normalized data;G1;alpha-2;C24
180;Average fixed raters;0.941999;17.241027;18;54;0.0;[0.88 0.98];Normalized data;G1;beta1;C24
181;Average fixed raters;0.954736;22.09255;18;54;0.0;[0.91 0.98];Normalized data;G1;beta2;C24
182;Average fixed raters;0.929841;14.253417;18;54;0.0;[0.86 0.97];Normalized data;G1;beta3;C24
183;Average fixed raters;0.86288;7.292867;18;54;0.0;[0.72 0.94];Normalized data;G1;gamma;C24
184;Average fixed raters;0.754766;4.077742;18;54;3.1e-05;[0.51 0.9 ];Normalized data;G1;delta;C25
185;Average fixed raters;0.900718;10.072295;18;54;0.0;[0.8  0.96];Normalized data;G1;theta;C25
186;Average fixed raters;0.931398;14.576912;18;54;0.0;[0.86 0.97];Normalized data;G1;alpha-1;C25
187;Average fixed raters;0.910908;11.224359;18;54;0.0;[0.82 0.96];Normalized data;G1;alpha-2;C25
188;Average fixed raters;0.957763;23.675789;18;54;0.0;[0.92 0.98];Normalized data;G1;beta1;C25
189;Average fixed raters;0.94496;18.168751;18;54;0.0;[0.89 0.98];Normalized data;G1;beta2;C25
190;Average fixed raters;0.941272;17.027767;18;54;0.0;[0.88 0.97];Normalized data;G1;beta3;C25
191;Average fixed raters;0.903126;10.322699;18;54;0.0;[0.81 0.96];Normalized data;G1;gamma;C25
192;Average fixed raters;0.821094;5.589516;24;72;0.0;[0.67 0.91];Normalized data;G2;delta;C14
193;Average fixed raters;0.9236;13.089079;24;72;0.0;[0.86 0.96];Normalized data;G2;theta;C14
194;Average fixed raters;0.918902;12.330724;24;72;0.0;[0.85 0.96];Normalized data;G2;alpha-1;C14
195;Average fixed raters;0.940825;16.899046;24;72;0.0;[0.89 0.97];Normalized data;G2;alpha-2;C14
196;Average fixed raters;0.873059;7.877653;24;72;0.0;[0.77 0.94];Normalized data;G2;beta1;C14
197;Average fixed raters;0.898618;9.863698;24;72;0.0;[0.81 0.95];Normalized data;G2;beta2;C14
198;Average fixed raters;0.932362;14.784536;24;72;0.0;[0.88 0.97];Normalized data;G2;beta3;C14
199;Average fixed raters;0.627351;2.683488;24;72;0.000678;[0.31 0.82];Normalized data;G2;gamma;C14
200;Average fixed raters;0.846605;6.51912;24;72;0.0;[0.72 0.93];Normalized data;G2;delta;C15
201;Average fixed raters;0.959076;24.435695;24;72;0.0;[0.92 0.98];Normalized data;G2;theta;C15
202;Average fixed raters;0.928873;14.059329;24;72;0.0;[0.87 0.97];Normalized data;G2;alpha-1;C15
203;Average fixed raters;0.897463;9.752611;24;72;0.0;[0.81 0.95];Normalized data;G2;alpha-2;C15
204;Average fixed raters;0.935703;15.552945;24;72;0.0;[0.88 0.97];Normalized data;G2;beta1;C15
205;Average fixed raters;0.93896;16.382629;24;72;0.0;[0.89 0.97];Normalized data;G2;beta2;C15
206;Average fixed raters;0.932767;14.873663;24;72;0.0;[0.88 0.97];Normalized data;G2;beta3;C15
207;Average fixed raters;0.756171;4.101232;24;72;2e-06;[0.55 0.88];Normalized data;G2;gamma;C15
208;Average fixed raters;0.854625;6.878759;24;72;0.0;[0.73 0.93];Normalized data;G2;delta;C18
209;Average fixed raters;0.927948;13.878793;24;72;0.0;[0.87 0.96];Normalized data;G2;theta;C18
210;Average fixed raters;0.924339;13.21687;24;72;0.0;[0.86 0.96];Normalized data;G2;alpha-1;C18
211;Average fixed raters;0.91189;11.34942;24;72;0.0;[0.84 0.96];Normalized data;G2;alpha-2;C18
212;Average fixed raters;0.891779;9.240317;24;72;0.0;[0.8  0.95];Normalized data;G2;beta1;C18
213;Average fixed raters;0.923564;13.082801;24;72;0.0;[0.86 0.96];Normalized data;G2;beta2;C18
214;Average fixed raters;0.939601;16.556634;24;72;0.0;[0.89 0.97];Normalized data;G2;beta3;C18
215;Average fixed raters;0.857372;7.011255;24;72;0.0;[0.74 0.93];Normalized data;G2;gamma;C18
216;Average fixed raters;0.781741;4.581715;24;72;0.0;[0.6  0.89];Normalized data;G2;delta;C20
217;Average fixed raters;0.939329;16.482297;24;72;0.0;[0.89 0.97];Normalized data;G2;theta;C20
218;Average fixed raters;0.922509;12.904744;24;72;0.0;[0.86 0.96];Normalized data;G2;alpha-1;C20
219;Average fixed raters;0.916854;12.027037;24;72;0.0;[0.85 0.96];Normalized data;G2;alpha-2;C20
220;Average fixed raters;0.871245;7.766668;24;72;0.0;[0.76 0.94];Normalized data;G2;beta1;C20
221;Average fixed raters;0.918294;12.23904;24;72;0.0;[0.85 0.96];Normalized data;G2;beta2;C20
222;Average fixed raters;0.90859;10.939689;24;72;0.0;[0.83 0.96];Normalized data;G2;beta3;C20
223;Average fixed raters;0.787159;4.698336;24;72;0.0;[0.61 0.9 ];Normalized data;G2;gamma;C20
224;Average fixed raters;0.82073;5.578182;24;72;0.0;[0.67 0.91];Normalized data;G2;delta;C22
225;Average fixed raters;0.934644;15.300745;24;72;0.0;[0.88 0.97];Normalized data;G2;theta;C22
226;Average fixed raters;0.936571;15.765594;24;72;0.0;[0.88 0.97];Normalized data;G2;alpha-1;C22
227;Average fixed raters;0.927707;13.832571;24;72;0.0;[0.87 0.96];Normalized data;G2;alpha-2;C22
228;Average fixed raters;0.892356;9.289877;24;72;0.0;[0.8  0.95];Normalized data;G2;beta1;C22
229;Average fixed raters;0.944512;18.022074;24;72;0.0;[0.9  0.97];Normalized data;G2;beta2;C22
230;Average fixed raters;0.953559;21.532663;24;72;0.0;[0.91 0.98];Normalized data;G2;beta3;C22
231;Average fixed raters;0.914026;11.631445;24;72;0.0;[0.84 0.96];Normalized data;G2;gamma;C22
232;Average fixed raters;0.740899;3.859505;24;72;5e-06;[0.52 0.87];Normalized data;G2;delta;C23
233;Average fixed raters;0.910006;11.111833;24;72;0.0;[0.83 0.96];Normalized data;G2;theta;C23
234;Average fixed raters;0.853401;6.821338;24;72;0.0;[0.73 0.93];Normalized data;G2;alpha-1;C23
235;Average fixed raters;0.876286;8.083153;24;72;0.0;[0.77 0.94];Normalized data;G2;alpha-2;C23
236;Average fixed raters;0.876582;8.102575;24;72;0.0;[0.77 0.94];Normalized data;G2;beta1;C23
237;Average fixed raters;0.898931;9.8942;24;72;0.0;[0.81 0.95];Normalized data;G2;beta2;C23
238;Average fixed raters;0.823508;5.665974;24;72;0.0;[0.68 0.91];Normalized data;G2;beta3;C23
239;Average fixed raters;0.874732;7.982896;24;72;0.0;[0.77 0.94];Normalized data;G2;gamma;C23
240;Average fixed raters;0.768707;4.323518;24;72;1e-06;[0.57 0.89];Normalized data;G2;delta;C24
241;Average fixed raters;0.942216;17.305941;24;72;0.0;[0.89 0.97];Normalized data;G2;theta;C24
242;Average fixed raters;0.901958;10.199742;24;72;0.0;[0.82 0.95];Normalized data;G2;alpha-1;C24
243;Average fixed raters;0.888781;8.991291;24;72;0.0;[0.8  0.95];Normalized data;G2;alpha-2;C24
244;Average fixed raters;0.894618;9.489286;24;72;0.0;[0.81 0.95];Normalized data;G2;beta1;C24
245;Average fixed raters;0.94123;17.015414;24;72;0.0;[0.89 0.97];Normalized data;G2;beta2;C24
246;Average fixed raters;0.862589;7.277433;24;72;0.0;[0.75 0.93];Normalized data;G2;beta3;C24
247;Average fixed raters;0.87374;7.920146;24;72;0.0;[0.77 0.94];Normalized data;G2;gamma;C24
248;Average fixed raters;0.678317;3.108648;24;72;0.000109;[0.41 0.84];Normalized data;G2;delta;C25
249;Average fixed raters;0.920171;12.526844;24;72;0.0;[0.85 0.96];Normalized data;G2;theta;C25
250;Average fixed raters;0.90164;10.166767;24;72;0.0;[0.82 0.95];Normalized data;G2;alpha-1;C25
251;Average fixed raters;0.910778;11.208011;24;72;0.0;[0.84 0.96];Normalized data;G2;alpha-2;C25
252;Average fixed raters;0.912999;11.494123;24;72;0.0;[0.84 0.96];Normalized data;G2;beta1;C25
253;Average fixed raters;0.949904;19.961564;24;72;0.0;[0.91 0.98];Normalized data;G2;beta2;C25
