;Description;ICC;F;df1;df2;pval;CI95%;Type;Stage;Group;Bands;Roi
61;Single random raters;0.74039;13.423519;644;1932;0.0;[0.7  0.77];ICC2;Preprocessed data;Control;alpha-1;C
62;Single fixed raters;0.756447;13.423519;644;1932;0.0;[0.73 0.78];ICC3;Preprocessed data;Control;alpha-1;C
63;Average raters absolute;0.91887;12.325963;644;1935;0.0;[0.91 0.93];ICC1k;Preprocessed data;Control;alpha-1;C
64;Average random raters;0.919405;13.423519;644;1932;0.0;[0.9  0.93];ICC2k;Preprocessed data;Control;alpha-1;C
65;Average fixed raters;0.925504;13.423519;644;1932;0.0;[0.92 0.93];ICC3k;Preprocessed data;Control;alpha-1;C
66;Single raters absolute;0.7522;13.142023;644;1935;0.0;[0.73 0.78];ICC1;Preprocessed data;Control;alpha-2;C
67;Single random raters;0.752781;13.660199;644;1932;0.0;[0.72 0.78];ICC2;Preprocessed data;Control;alpha-2;C
68;Single fixed raters;0.759907;13.660199;644;1932;0.0;[0.73 0.78];ICC3;Preprocessed data;Control;alpha-2;C
69;Average raters absolute;0.923908;13.142023;644;1935;0.0;[0.91 0.93];ICC1k;Preprocessed data;Control;alpha-2;C
70;Average random raters;0.924127;13.660199;644;1932;0.0;[0.91 0.93];ICC2k;Preprocessed data;Control;alpha-2;C
71;Average fixed raters;0.926795;13.660199;644;1932;0.0;[0.92 0.94];ICC3k;Preprocessed data;Control;alpha-2;C
72;Single raters absolute;0.791985;16.22941;644;1935;0.0;[0.77 0.81];ICC1;Preprocessed data;Control;beta1;C
73;Single random raters;0.792564;17.148736;644;1932;0.0;[0.77 0.82];ICC2;Preprocessed data;Control;beta1;C
74;Single fixed raters;0.801476;17.148736;644;1932;0.0;[0.78 0.82];ICC3;Preprocessed data;Control;beta1;C
75;Average raters absolute;0.938383;16.22941;644;1935;0.0;[0.93 0.95];ICC1k;Preprocessed data;Control;beta1;C
76;Average random raters;0.938586;17.148736;644;1932;0.0;[0.93 0.95];ICC2k;Preprocessed data;Control;beta1;C
77;Average fixed raters;0.941687;17.148736;644;1932;0.0;[0.93 0.95];ICC3k;Preprocessed data;Control;beta1;C
78;Single raters absolute;0.82639;20.040171;644;1935;0.0;[0.81 0.84];ICC1;Preprocessed data;Control;beta2;C
79;Single random raters;0.826669;20.810343;644;1932;0.0;[0.8  0.85];ICC2;Preprocessed data;Control;beta2;C
80;Single fixed raters;0.832006;20.810343;644;1932;0.0;[0.81 0.85];ICC3;Preprocessed data;Control;beta2;C
81;Average raters absolute;0.9501;20.040171;644;1935;0.0;[0.94 0.96];ICC1k;Preprocessed data;Control;beta2;C
82;Average random raters;0.950192;20.810343;644;1932;0.0;[0.94 0.96];ICC2k;Preprocessed data;Control;beta2;C
83;Average fixed raters;0.951947;20.810343;644;1932;0.0;[0.95 0.96];ICC3k;Preprocessed data;Control;beta2;C
84;Single raters absolute;0.837595;21.629817;644;1935;0.0;[0.82 0.86];ICC1;Preprocessed data;Control;beta3;C
85;Single random raters;0.837697;21.968619;644;1932;0.0;[0.82 0.86];ICC2;Preprocessed data;Control;beta3;C
86;Single fixed raters;0.839799;21.968619;644;1932;0.0;[0.82 0.86];ICC3;Preprocessed data;Control;beta3;C
87;Average raters absolute;0.953768;21.629817;644;1935;0.0;[0.95 0.96];ICC1k;Preprocessed data;Control;beta3;C
88;Average random raters;0.9538;21.968619;644;1932;0.0;[0.95 0.96];ICC2k;Preprocessed data;Control;beta3;C
89;Average fixed raters;0.954481;21.968619;644;1932;0.0;[0.95 0.96];ICC3k;Preprocessed data;Control;beta3;C
90;Single raters absolute;0.689318;9.874895;644;1935;0.0;[0.66 0.72];ICC1;Preprocessed data;Control;gamma;C
91;Single random raters;0.689594;9.989468;644;1932;0.0;[0.66 0.72];ICC2;Preprocessed data;Control;gamma;C
92;Single fixed raters;0.692058;9.989468;644;1932;0.0;[0.66 0.72];ICC3;Preprocessed data;Control;gamma;C
93;Average raters absolute;0.898733;9.874895;644;1935;0.0;[0.89 0.91];ICC1k;Preprocessed data;Control;gamma;C
94;Average random raters;0.898851;9.989468;644;1932;0.0;[0.89 0.91];ICC2k;Preprocessed data;Control;gamma;C
95;Average fixed raters;0.899895;9.989468;644;1932;0.0;[0.89 0.91];ICC3k;Preprocessed data;Control;gamma;C
96;Single raters absolute;0.53823;5.662318;816;2451;0.0;[0.5  0.57];ICC1;Preprocessed data;Control;delta;PO
97;Single random raters;0.54374;6.323883;816;2448;0.0;[0.49 0.59];ICC2;Preprocessed data;Control;delta;PO
98;Single fixed raters;0.570994;6.323883;816;2448;0.0;[0.54 0.6 ];ICC3;Preprocessed data;Control;delta;PO
99;Average raters absolute;0.823394;5.662318;816;2451;0.0;[0.8  0.84];ICC1k;Preprocessed data;Control;delta;PO
100;Average random raters;0.826598;6.323883;816;2448;0.0;[0.79 0.85];ICC2k;Preprocessed data;Control;delta;PO
101;Average fixed raters;0.841869;6.323883;816;2448;0.0;[0.82 0.86];ICC3k;Preprocessed data;Control;delta;PO
102;Single raters absolute;0.831385;20.722663;816;2451;0.0;[0.81 0.85];ICC1;Preprocessed data;Control;theta;PO
103;Single random raters;0.831724;21.763841;816;2448;0.0;[0.81 0.85];ICC2;Preprocessed data;Control;theta;PO
104;Single fixed raters;0.838474;21.763841;816;2448;0.0;[0.82 0.85];ICC3;Preprocessed data;Control;theta;PO
105;Average raters absolute;0.951744;20.722663;816;2451;0.0;[0.95 0.96];ICC1k;Preprocessed data;Control;theta;PO
106;Average random raters;0.951855;21.763841;816;2448;0.0;[0.94 0.96];ICC2k;Preprocessed data;Control;theta;PO
107;Average fixed raters;0.954052;21.763841;816;2448;0.0;[0.95 0.96];ICC3k;Preprocessed data;Control;theta;PO
108;Single raters absolute;0.723148;11.448171;816;2451;0.0;[0.7  0.75];ICC1;Preprocessed data;Control;alpha-1;PO
109;Single random raters;0.724954;12.647738;816;2448;0.0;[0.68 0.76];ICC2;Preprocessed data;Control;alpha-1;PO
110;Single fixed raters;0.744372;12.647738;816;2448;0.0;[0.72 0.77];ICC3;Preprocessed data;Control;alpha-1;PO
111;Average raters absolute;0.91265;11.448171;816;2451;0.0;[0.9  0.92];ICC1k;Preprocessed data;Control;alpha-1;PO
112;Average random raters;0.913368;12.647738;816;2448;0.0;[0.9  0.93];ICC2k;Preprocessed data;Control;alpha-1;PO
113;Average fixed raters;0.920934;12.647738;816;2448;0.0;[0.91 0.93];ICC3k;Preprocessed data;Control;alpha-1;PO
114;Single raters absolute;0.731754;11.911676;816;2451;0.0;[0.71 0.76];ICC1;Preprocessed data;Control;alpha-2;PO
115;Single random raters;0.732527;12.448612;816;2448;0.0;[0.7  0.76];ICC2;Preprocessed data;Control;alpha-2;PO
116;Single fixed raters;0.741077;12.448612;816;2448;0.0;[0.72 0.76];ICC3;Preprocessed data;Control;alpha-2;PO
117;Average raters absolute;0.916049;11.911676;816;2451;0.0;[0.91 0.93];ICC1k;Preprocessed data;Control;alpha-2;PO
118;Average random raters;0.916352;12.448612;816;2448;0.0;[0.9  0.93];ICC2k;Preprocessed data;Control;alpha-2;PO
119;Average fixed raters;0.91967;12.448612;816;2448;0.0;[0.91 0.93];ICC3k;Preprocessed data;Control;alpha-2;PO
120;Single raters absolute;0.813322;18.42724;816;2451;0.0;[0.79 0.83];ICC1;Preprocessed data;Control;beta1;PO
121;Single random raters;0.8134;18.594867;816;2448;0.0;[0.79 0.83];ICC2;Preprocessed data;Control;beta1;PO
122;Single fixed raters;0.814771;18.594867;816;2448;0.0;[0.8  0.83];ICC3;Preprocessed data;Control;beta1;PO
123;Average raters absolute;0.945733;18.42724;816;2451;0.0;[0.94 0.95];ICC1k;Preprocessed data;Control;beta1;PO
124;Average random raters;0.945759;18.594867;816;2448;0.0;[0.94 0.95];ICC2k;Preprocessed data;Control;beta1;PO
125;Average fixed raters;0.946222;18.594867;816;2448;0.0;[0.94 0.95];ICC3k;Preprocessed data;Control;beta1;PO
126;Single raters absolute;0.814788;18.596861;816;2451;0.0;[0.8  0.83];ICC1;Preprocessed data;Control;beta2;PO
127;Single random raters;0.815134;19.379612;816;2448;0.0;[0.79 0.83];ICC2;Preprocessed data;Control;beta2;PO
128;Single fixed raters;0.821266;19.379612;816;2448;0.0;[0.8  0.84];ICC3;Preprocessed data;Control;beta2;PO
129;Average raters absolute;0.946227;18.596861;816;2451;0.0;[0.94 0.95];ICC1k;Preprocessed data;Control;beta2;PO
130;Average random raters;0.946344;19.379612;816;2448;0.0;[0.94 0.95];ICC2k;Preprocessed data;Control;beta2;PO
131;Average fixed raters;0.948399;19.379612;816;2448;0.0;[0.94 0.95];ICC3k;Preprocessed data;Control;beta2;PO
132;Single raters absolute;0.84104;22.163489;816;2451;0.0;[0.82 0.86];ICC1;Preprocessed data;Control;beta3;PO
133;Single random raters;0.841238;22.881598;816;2448;0.0;[0.82 0.86];ICC2;Preprocessed data;Control;beta3;PO
134;Single fixed raters;0.84545;22.881598;816;2448;0.0;[0.83 0.86];ICC3;Preprocessed data;Control;beta3;PO
135;Average raters absolute;0.954881;22.163489;816;2451;0.0;[0.95 0.96];ICC1k;Preprocessed data;Control;beta3;PO
136;Average random raters;0.954945;22.881598;816;2448;0.0;[0.95 0.96];ICC2k;Preprocessed data;Control;beta3;PO
137;Average fixed raters;0.956297;22.881598;816;2448;0.0;[0.95 0.96];ICC3k;Preprocessed data;Control;beta3;PO
138;Single raters absolute;0.752052;13.13242;816;2451;0.0;[0.73 0.77];ICC1;Preprocessed data;Control;gamma;PO
139;Single random raters;0.752456;13.487314;816;2448;0.0;[0.73 0.78];ICC2;Preprocessed data;Control;gamma;PO
140;Single fixed raters;0.757389;13.487314;816;2448;0.0;[0.73 0.78];ICC3;Preprocessed data;Control;gamma;PO
141;Average raters absolute;0.923853;13.13242;816;2451;0.0;[0.91 0.93];ICC1k;Preprocessed data;Control;gamma;PO
142;Average random raters;0.924005;13.487314;816;2448;0.0;[0.91 0.93];ICC2k;Preprocessed data;Control;gamma;PO
143;Average fixed raters;0.925856;13.487314;816;2448;0.0;[0.92 0.93];ICC3k;Preprocessed data;Control;gamma;PO
144;Single raters absolute;0.552122;5.930999;429;1290;0.0;[0.51 0.6 ];ICC1;Preprocessed data;Control;delta;T
