;Description;ICC;F;df1;df2;pval;CI95%;Stage;Group;Bands;Components
86;Single fixed raters;0.793419;16.362833;24;72;0.0;[0.66 0.89];Preprocessed data;G2;beta3;C18
87;Single fixed raters;0.581654;6.561468;24;72;0.0;[0.39 0.76];Preprocessed data;G2;gamma;C18
88;Single fixed raters;0.454686;4.335227;24;72;1e-06;[0.25 0.66];Preprocessed data;G2;delta;C20
89;Single fixed raters;0.806349;17.655701;24;72;0.0;[0.68 0.9 ];Preprocessed data;G2;theta;C20
90;Single fixed raters;0.752145;13.138458;24;72;0.0;[0.61 0.87];Preprocessed data;G2;alpha-1;C20
91;Single fixed raters;0.740633;12.422179;24;72;0.0;[0.59 0.86];Preprocessed data;G2;alpha-2;C20
92;Single fixed raters;0.641089;8.144818;24;72;0.0;[0.46 0.8 ];Preprocessed data;G2;beta1;C20
93;Single fixed raters;0.738869;12.317965;24;72;0.0;[0.59 0.86];Preprocessed data;G2;beta2;C20
94;Single fixed raters;0.689811;9.895378;24;72;0.0;[0.52 0.83];Preprocessed data;G2;beta3;C20
95;Single fixed raters;0.456392;4.358237;24;72;1e-06;[0.25 0.67];Preprocessed data;G2;gamma;C20
96;Single fixed raters;0.534751;5.597547;24;72;0.0;[0.34 0.72];Preprocessed data;G2;delta;C22
97;Single fixed raters;0.768839;14.303971;24;72;0.0;[0.63 0.88];Preprocessed data;G2;theta;C22
98;Single fixed raters;0.791339;16.169895;24;72;0.0;[0.66 0.89];Preprocessed data;G2;alpha-1;C22
99;Single fixed raters;0.767963;14.238666;24;72;0.0;[0.63 0.88];Preprocessed data;G2;alpha-2;C22
100;Single fixed raters;0.664038;8.906118;24;72;0.0;[0.49 0.81];Preprocessed data;G2;beta1;C22
101;Single fixed raters;0.810092;18.062862;24;72;0.0;[0.69 0.9 ];Preprocessed data;G2;beta2;C22
102;Single fixed raters;0.775455;14.813791;24;72;0.0;[0.64 0.88];Preprocessed data;G2;beta3;C22
103;Single fixed raters;0.577873;6.475821;24;72;0.0;[0.39 0.75];Preprocessed data;G2;gamma;C22
104;Single fixed raters;0.43465;4.075267;24;72;2e-06;[0.23 0.65];Preprocessed data;G2;delta;C23
105;Single fixed raters;0.716098;11.089373;24;72;0.0;[0.56 0.85];Preprocessed data;G2;theta;C23
106;Single fixed raters;0.594968;6.875754;24;72;0.0;[0.41 0.77];Preprocessed data;G2;alpha-1;C23
107;Single fixed raters;0.640118;8.11475;24;72;0.0;[0.46 0.8 ];Preprocessed data;G2;alpha-2;C23
108;Single fixed raters;0.639527;8.096536;24;72;0.0;[0.46 0.8 ];Preprocessed data;G2;beta1;C23
109;Single fixed raters;0.712624;10.919029;24;72;0.0;[0.55 0.84];Preprocessed data;G2;beta2;C23
110;Single fixed raters;0.539407;5.68446;24;72;0.0;[0.34 0.73];Preprocessed data;G2;beta3;C23
111;Single fixed raters;0.636041;7.990263;24;72;0.0;[0.46 0.79];Preprocessed data;G2;gamma;C23
112;Single fixed raters;0.47005;4.547879;24;72;0.0;[0.27 0.68];Preprocessed data;G2;delta;C24
113;Single fixed raters;0.802292;17.231876;24;72;0.0;[0.68 0.9 ];Preprocessed data;G2;theta;C24
114;Single fixed raters;0.70446;10.534532;24;72;0.0;[0.54 0.84];Preprocessed data;G2;alpha-1;C24
115;Single fixed raters;0.671559;9.178751;24;72;0.0;[0.5  0.82];Preprocessed data;G2;alpha-2;C24
116;Single fixed raters;0.660738;8.790296;24;72;0.0;[0.49 0.81];Preprocessed data;G2;beta1;C24
117;Single fixed raters;0.805515;17.567091;24;72;0.0;[0.68 0.9 ];Preprocessed data;G2;beta2;C24
118;Single fixed raters;0.600075;7.001864;24;72;0.0;[0.41 0.77];Preprocessed data;G2;beta3;C24
119;Single fixed raters;0.627873;7.749017;24;72;0.0;[0.45 0.79];Preprocessed data;G2;gamma;C24
120;Single fixed raters;0.394357;3.604551;24;72;1.3e-05;[0.19 0.62];Preprocessed data;G2;delta;C25
121;Single fixed raters;0.718997;11.234711;24;72;0.0;[0.56 0.85];Preprocessed data;G2;theta;C25
122;Single fixed raters;0.694823;10.107132;24;72;0.0;[0.53 0.83];Preprocessed data;G2;alpha-1;C25
123;Single fixed raters;0.722408;11.40962;24;72;0.0;[0.57 0.85];Preprocessed data;G2;alpha-2;C25
124;Single fixed raters;0.714752;11.022867;24;72;0.0;[0.55 0.84];Preprocessed data;G2;beta1;C25
125;Single fixed raters;0.843989;22.63922;24;72;0.0;[0.74 0.92];Preprocessed data;G2;beta2;C25
126;Single fixed raters;0.75718;13.473111;24;72;0.0;[0.61 0.87];Preprocessed data;G2;beta3;C25
127;Single fixed raters;0.706137;10.61177;24;72;0.0;[0.54 0.84];Preprocessed data;G2;gamma;C25
128;Single fixed raters;0.471734;4.571943;18;54;7e-06;[0.24 0.71];Normalized data;G1;delta;C14
129;Single fixed raters;0.643167;8.209723;18;54;0.0;[0.44 0.82];Normalized data;G1;theta;C14
130;Single fixed raters;0.673294;9.243429;18;54;0.0;[0.47 0.84];Normalized data;G1;alpha-1;C14
131;Single fixed raters;0.72812;11.712378;18;54;0.0;[0.55 0.87];Normalized data;G1;alpha-2;C14
132;Single fixed raters;0.556055;6.010118;18;54;0.0;[0.33 0.77];Normalized data;G1;beta1;C14
133;Single fixed raters;0.654207;8.567615;18;54;0.0;[0.45 0.83];Normalized data;G1;beta2;C14
134;Single fixed raters;0.545179;5.794673;18;54;0.0;[0.32 0.76];Normalized data;G1;beta3;C14
135;Single fixed raters;0.373685;3.38656;18;54;0.000268;[0.15 0.63];Normalized data;G1;gamma;C14
136;Single fixed raters;0.642027;8.17404;18;54;0.0;[0.43 0.82];Normalized data;G1;delta;C15
137;Single fixed raters;0.69467;10.100568;18;54;0.0;[0.5  0.85];Normalized data;G1;theta;C15
138;Single fixed raters;0.631049;7.841553;18;54;0.0;[0.42 0.81];Normalized data;G1;alpha-1;C15
139;Single fixed raters;0.653249;8.535644;18;54;0.0;[0.45 0.83];Normalized data;G1;alpha-2;C15
140;Single fixed raters;0.624223;7.644597;18;54;0.0;[0.41 0.81];Normalized data;G1;beta1;C15
141;Single fixed raters;0.256457;2.379649;18;54;0.007362;[0.04 0.53];Normalized data;G1;beta2;C15
142;Single fixed raters;0.217623;2.112623;18;54;0.0179;[0.01 0.5 ];Normalized data;G1;beta3;C15
143;Single fixed raters;0.373869;3.388437;18;54;0.000266;[0.15 0.63];Normalized data;G1;gamma;C15
144;Single fixed raters;0.664844;8.934758;18;54;0.0;[0.46 0.83];Normalized data;G1;delta;C18
145;Single fixed raters;0.777041;14.940489;18;54;0.0;[0.62 0.89];Normalized data;G1;theta;C18
146;Single fixed raters;0.817921;18.968484;18;54;0.0;[0.68 0.92];Normalized data;G1;alpha-1;C18
147;Single fixed raters;0.697599;10.227474;18;54;0.0;[0.51 0.85];Normalized data;G1;alpha-2;C18
148;Single fixed raters;0.607304;7.186002;18;54;0.0;[0.39 0.8 ];Normalized data;G1;beta1;C18
149;Single fixed raters;0.610219;7.262186;18;54;0.0;[0.39 0.8 ];Normalized data;G1;beta2;C18
150;Single fixed raters;0.610984;7.282343;18;54;0.0;[0.4 0.8];Normalized data;G1;beta3;C18
151;Single fixed raters;0.435877;4.090646;18;54;3e-05;[0.21 0.68];Normalized data;G1;gamma;C18
152;Single fixed raters;0.518054;5.299677;18;54;1e-06;[0.29 0.74];Normalized data;G1;delta;C20
153;Single fixed raters;0.689058;9.864151;18;54;0.0;[0.49 0.85];Normalized data;G1;theta;C20
154;Single fixed raters;0.709136;10.752119;18;54;0.0;[0.52 0.86];Normalized data;G1;alpha-1;C20
155;Single fixed raters;0.615367;7.399514;18;54;0.0;[0.4 0.8];Normalized data;G1;alpha-2;C20
156;Single fixed raters;0.441278;4.159198;18;54;2.4e-05;[0.21 0.69];Normalized data;G1;beta1;C20
157;Single fixed raters;0.492908;4.888112;18;54;3e-06;[0.26 0.72];Normalized data;G1;beta2;C20
158;Single fixed raters;0.507006;5.113686;18;54;2e-06;[0.28 0.73];Normalized data;G1;beta3;C20
159;Single fixed raters;0.352154;3.174309;18;54;0.000531;[0.13 0.62];Normalized data;G1;gamma;C20
160;Single fixed raters;0.456268;4.35656;18;54;1.3e-05;[0.23 0.7 ];Normalized data;G1;delta;C22
161;Single fixed raters;0.759487;13.63114;18;54;0.0;[0.59 0.89];Normalized data;G1;theta;C22
162;Single fixed raters;0.667966;9.046943;18;54;0.0;[0.47 0.83];Normalized data;G1;alpha-1;C22
163;Single fixed raters;0.723234;11.45263;18;54;0.0;[0.54 0.87];Normalized data;G1;alpha-2;C22
164;Single fixed raters;0.750685;13.043942;18;54;0.0;[0.58 0.88];Normalized data;G1;beta1;C22
165;Single fixed raters;0.776238;14.876117;18;54;0.0;[0.62 0.89];Normalized data;G1;beta2;C22
166;Single fixed raters;0.751374;13.088425;18;54;0.0;[0.58 0.88];Normalized data;G1;beta3;C22
167;Single fixed raters;0.514898;5.245695;18;54;1e-06;[0.29 0.74];Normalized data;G1;gamma;C22
168;Single fixed raters;0.453;4.31261;18;54;1.5e-05;[0.22 0.69];Normalized data;G1;delta;C23
169;Single fixed raters;0.730288;11.830646;18;54;0.0;[0.55 0.87];Normalized data;G1;theta;C23
